Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA50,RSI
2022-11-09 00:00:00-05:00,137.20949321404166,137.25903035043765,133.33592194369456,133.61331176757812,74917800,0.0,0.0,146.43166076660157,41.75649383100618
2022-11-10 00:00:00-05:00,139.92396464437974,145.50149536132812,138.20017210942194,145.50149536132812,118854000,0.0,0.0,146.23174865722658,49.86626623509432
2022-11-11 00:00:00-05:00,144.461308012217,148.61225437453263,143.02480650666106,148.30514526367188,93979700,0.0,0.0,146.07327117919922,50.42152495391711
2022-11-14 00:00:00-05:00,147.58193436969913,148.87972568427676,146.0562752561658,146.8983612060547,73374100,0.0,0.0,145.92918701171874,46.69191096714003
2022-11-15 00:00:00-05:00,150.8016475985718,152.15887739240375,147.17574707277527,148.64195251464844,89868300,0.0,0.0,145.84529449462892,50.83203058667762
2022-11-16 00:00:00-05:00,147.7404231070056,148.47351816998454,145.91755659513987,147.40357971191406,64218300,0.0,0.0,145.70834747314453,53.987815584748255
2022-11-17 00:00:00-05:00,145.0655927873975,150.06854111031015,144.78820297021446,149.3156280517578,80389400,0.0,0.0,145.63931274414062,44.59373495121965
2022-11-18 00:00:00-05:00,150.89081018022702,151.27717565076162,148.57261735701957,149.88031005859375,74829600,0.0,0.0,145.52400939941407,47.87277590977549
2022-11-21 00:00:00-05:00,148.76088150581472,148.96891635666893,146.34361388988748,146.6309051513672,58724100,0.0,0.0,145.22384643554688,47.20809991196218
2022-11-22 00:00:00-05:00,146.74976836265094,149.0184240921763,145.5609375545138,148.78065490722656,51804100,0.0,0.0,145.15637664794923,56.84556818808662
2022-11-23 00:00:00-05:00,148.05745331434238,150.4152818123045,147.9484776665388,149.66236877441406,58301400,0.0,0.0,145.07746276855468,68.2004719099805
2022-11-25 00:00:00-05:00,146.92808337960366,147.49277952307645,145.74916907300886,146.72994995117188,35195900,0.0,0.0,144.998056640625,63.216498744928145
2022-11-28 00:00:00-05:00,143.78761600890013,145.2736393306608,142.04402075334752,142.87619018554688,69246000,0.0,0.0,144.87460906982423,56.59861049587617
2022-11-29 00:00:00-05:00,142.94552250722504,143.46068146412867,139.0422474868005,139.85459899902344,83763800,0.0,0.0,144.61595825195312,51.958688763878506
2022-11-30 00:00:00-05:00,140.08246748729826,147.334268988452,139.24039662442343,146.65069580078125,111380900,0.0,0.0,144.4453598022461,64.66784821843646
2022-12-01 00:00:00-05:00,146.82902616992533,147.74045204608186,145.24392848823717,146.92808532714844,71250400,0.0,0.0,144.34321197509766,52.172609683174926
2022-12-02 00:00:00-05:00,144.60000125431688,146.62098658019366,144.29287703041706,146.43275451660156,65447400,0.0,0.0,144.25054260253907,46.93281329126739
2022-12-05 00:00:00-05:00,146.3931407456851,149.51378422205553,144.41177596916708,145.26376342773438,68826400,0.0,0.0,144.18018737792968,47.30132050764649
2022-12-06 00:00:00-05:00,145.699657023478,145.92750972593578,140.59763397171506,141.5784149169922,64727200,0.0,0.0,144.0293994140625,39.04092855093366
2022-12-07 00:00:00-05:00,140.8650921438867,142.0340897818995,138.69549589656157,139.62673950195312,69721100,0.0,0.0,143.8199954223633,38.19551790858586
2022-12-08 00:00:00-05:00,141.03354006839803,142.18273522334448,139.78528574833666,141.32083129882812,62128300,0.0,0.0,143.6824523925781,37.7838502017967
